dataset,dataset_key,seed,method,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,p99_m,cvar90_m,cvar95_m,max_m,mae_x_m,mae_y_m,within_1m,within_3m,within_5m,within_10m,floor_accuracy,building_accuracy
UTSIndoorLoc,uts,44,AaT-base-reimpl,7.367105484008789,6.5121846199035645,9.020663261413574,9.477081537246704,12.70650978088379,16.12787532806396,28.99198854446411,18.766082763671875,22.888277053833008,38.268028259277344,6.550829887390137,2.3578333854675293,0.02577319587628866,0.15721649484536082,0.3556701030927835,0.7809278350515464,0.9072164948453608,1.0
UTSIndoorLoc,uts,44,RC-Direct,6.801982879638672,6.018594741821289,8.462613105773926,8.872587442398071,11.572366333007812,14.540241050720214,26.03648920059203,17.53522300720215,21.927541732788086,38.83061981201172,6.072780132293701,2.117173671722412,0.02577319587628866,0.211340206185567,0.42783505154639173,0.8273195876288659,0.9458762886597938,1.0
UTSIndoorLoc,uts,44,RC-Loc,6.7584696469153105,5.83023557988058,8.411585111366884,8.89909649360731,11.774627820915773,14.848939258784716,26.43298593882573,17.494240983622806,21.84977805985725,36.94598848411545,6.0388158689214055,2.127669354668983,0.04381443298969072,0.20103092783505155,0.39690721649484534,0.8350515463917526,0.9458762886597938,1.0
UTSIndoorLoc,uts,55,PCA-WKNN,8.250863299064484,7.543659422372858,9.82965054197724,11.185614000043298,14.777628049851147,17.1888486262943,26.703938337732353,19.11980656399742,22.25388490966706,33.42031742549922,7.071271336848682,2.9798149465557167,0.030927835051546393,0.15979381443298968,0.3170103092783505,0.6675257731958762,,
UTSIndoorLoc,uts,55,ExtraTrees,8.281872282440995,7.5234418943265515,9.744155102110767,10.96930616720543,15.056993196049053,18.359488418682393,23.226304010366874,19.02129147076815,21.567506602241757,31.05532162984102,7.192995569405745,2.8839535316608624,0.01804123711340206,0.14948453608247422,0.30670103092783507,0.6649484536082474,,
UTSIndoorLoc,uts,55,DNNBN-reimpl,7.658504962921143,6.730189800262451,9.221303939819336,9.786671161651611,12.827133178710938,16.281026458740232,30.60374248504638,19.028831481933594,23.228744506835938,34.259124755859375,6.718169212341309,2.5491085052490234,0.015463917525773196,0.14948453608247422,0.31443298969072164,0.7783505154639175,0.9149484536082474,1.0
UTSIndoorLoc,uts,55,CNN-RSS-reimpl,8.838300704956055,7.854465484619141,10.377935409545898,11.345914840698242,16.224539756774902,20.1503469467163,25.766470565795892,20.89512062072754,24.038732528686523,30.050851821899414,7.65837287902832,3.224292755126953,0.010309278350515464,0.12371134020618557,0.23969072164948454,0.6701030927835051,0.8505154639175257,1.0
UTSIndoorLoc,uts,55,AaT-base-reimpl,7.385373592376709,6.302865505218506,9.077096939086914,9.488652229309082,13.022554874420171,16.327849388122555,30.0133671760559,19.064144134521484,23.37307357788086,38.1677131652832,6.512819766998291,2.3911941051483154,0.01288659793814433,0.14690721649484537,0.36855670103092786,0.788659793814433,0.9201030927835051,1.0
UTSIndoorLoc,uts,55,RC-Direct,7.0950751304626465,6.122923851013184,8.789212226867676,9.290187358856201,12.346640872955323,15.899144983291619,26.76645578384397,18.6314640045166,22.93156623840332,35.07304000854492,6.336005687713623,2.113785982131958,0.030927835051546393,0.18814432989690721,0.38144329896907214,0.8092783505154639,0.9278350515463918,1.0
UTSIndoorLoc,uts,55,RC-Loc,7.1935715677894,6.203158156399586,8.847383155590263,9.351265383699841,12.369251982444089,15.688868801010013,26.766454968110352,18.50991212578957,22.612375665192026,35.07303757432459,6.443771467115263,2.1158797433594594,0.03350515463917526,0.18041237113402062,0.3711340206185567,0.7963917525773195,0.9278350515463918,1.0
