dataset,seed,method,estimator,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,parameters,train_seconds,best_epoch,trained_epochs
UJIIndoorLoc,22,RC-NoMask,fused,device_offset_-6db,1111.0,8.348474281434171,6.525343938247742,11.13926315979044,10.465381641373485,16.33684268632925,21.01244026753397,0.1782178217821782,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,direct,persistent_bias_8db,1111.0,8.923477172851562,6.922926902770996,11.86706829071045,11.4837064743042,17.931623458862305,24.087495803833008,0.1656165616561656,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,fused,persistent_bias_8db,1111.0,8.692235436472657,6.685534265713617,11.56419803166499,10.94940670128765,17.32983534456494,23.45546866050324,0.1818181818181818,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,direct,top20_outage,1111.0,29.81057357788086,12.341192245483398,51.54166793823242,28.095728874206543,95.62017822265624,132.3170928955078,0.0909090909090909,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,fused,top20_outage,1111.0,29.53260229159576,12.000035349116787,51.50483104509665,27.40264849345853,96.0126775073263,132.2461725329011,0.0927092709270927,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,direct,top20_outage_plus_bias4db,1111.0,31.11610412597656,12.47557258605957,54.78305816650391,28.779351234436035,98.24261474609376,143.08322143554688,0.0747074707470747,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,fused,top20_outage_plus_bias4db,1111.0,30.807652369483936,11.978198271401368,54.655360666338346,27.46814110078489,98.62348025466616,143.6008880523678,0.09000900090009,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoReconstruction,direct,clean,1111.0,8.436198234558105,6.742218494415283,11.247313499450684,10.995612621307371,16.50978660583496,22.154693603515625,0.2007200720072007,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,fused,clean,1111.0,8.36781109986123,6.525777924595153,11.208511125917491,10.956718180781484,16.5092334993253,22.15469341836406,0.2079207920792079,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,direct,device_offset_-6db,1111.0,8.465967178344727,6.749399662017822,11.18033504486084,10.890065670013428,16.362842559814453,21.63354778289795,0.1809180918091809,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,fused,device_offset_-6db,1111.0,8.399228872910975,6.697703358609015,11.148640265906318,10.767269133846272,16.36284369682546,21.69543436931884,0.1836183618361836,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,direct,persistent_bias_8db,1111.0,8.906365394592285,6.673633098602295,11.904964447021484,11.682806015014648,17.993764877319336,23.11192512512207,0.1809180918091809,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,fused,persistent_bias_8db,1111.0,8.84430053836145,6.523624623064715,11.865215769421512,11.682805778033504,18.060075352956183,22.81696161535032,0.1872187218721872,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,direct,top20_outage,1111.0,32.674434661865234,12.49413776397705,62.68812942504883,26.11262798309326,93.32364654541016,162.89739227294922,0.0774077407740774,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,fused,top20_outage,1111.0,32.62925092270235,12.254203162884227,62.79896803461624,25.905525755721374,93.85191010322694,162.89739977324143,0.0855085508550855,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,direct,top20_outage_plus_bias4db,1111.0,32.14049530029297,12.54614543914795,60.957618713378906,26.036623001098636,93.30194091796876,158.33029174804688,0.0819081908190819,2734698,339.2640901999548,196,200
UJIIndoorLoc,22,RC-NoReconstruction,fused,top20_outage_plus_bias4db,1111.0,32.13514570703514,12.546145986848163,61.09465574456739,26.20077598457813,93.30193743804897,158.33029160176488,0.0891089108910891,2734698,339.2640901999548,196,200
UJIIndoorLoc,33,RC-NoAugCoord,direct,clean,1111.0,8.538443565368652,6.769376754760742,11.276866912841797,11.200782775878906,16.906068801879883,21.367051124572757,0.1935193519351935,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,fused,clean,1111.0,8.164233451818912,6.233390013353211,11.00270531216362,10.70985419427207,15.44227403573894,21.313393301852656,0.2097209720972097,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,direct,device_offset_-6db,1111.0,8.755879402160645,7.094692230224609,11.44382095336914,11.433672428131104,16.480283737182617,20.394221305847168,0.1656165616561656,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,fused,device_offset_-6db,1111.0,8.513151912150194,6.615700062668744,11.351434717878664,11.140040250692918,16.02002769646814,21.31613423516153,0.1755175517551755,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,direct,persistent_bias_8db,1111.0,8.830543518066406,7.07367467880249,11.579575538635254,11.596651554107666,17.427265167236328,21.51023769378662,0.1728172817281728,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,fused,persistent_bias_8db,1111.0,8.402258533408348,6.607786293107285,11.258790888045816,11.076951707007822,16.330580314072716,20.96013236590485,0.1881188118811881,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,direct,top20_outage,1111.0,33.417442321777344,13.249491691589355,59.07976913452149,28.86236000061035,107.70294952392578,152.22288513183594,0.0729072907290729,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,fused,top20_outage,1111.0,32.25627848790612,12.376831709199996,57.89627843605775,27.944193405206057,106.561281301133,146.91028632775965,0.0819081908190819,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,direct,top20_outage_plus_bias4db,1111.0,33.55984878540039,12.9191312789917,59.85969924926758,28.82272434234619,112.1761474609375,153.25516510009766,0.0729072907290729,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoAugCoord,fused,top20_outage_plus_bias4db,1111.0,32.27274017703408,11.84657937223311,58.45659173579941,26.869119013469003,110.81769056700098,146.42451818647172,0.0837083708370837,2972146,1612.9607649000827,166,196
UJIIndoorLoc,33,RC-NoCoarseHeads,direct,clean,1111.0,8.4533109664917,6.381988048553467,11.626678466796877,10.741807460784912,16.76392936706543,22.047205924987797,0.1944194419441944,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,fused,clean,1111.0,8.064052311130997,5.943385024825434,11.341595451880384,10.114904489979793,15.743934590191186,21.3445075878033,0.2142214221422142,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,direct,device_offset_-6db,1111.0,8.98848819732666,6.956684589385986,12.664239883422852,11.294062614440918,17.172714233398438,21.064398765563965,0.162016201620162,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,fused,device_offset_-6db,1111.0,8.632696925340973,6.620572358376873,12.56725057675256,10.543907747813291,16.53445520121487,21.38740098436332,0.1872187218721872,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,direct,persistent_bias_8db,1111.0,8.622180938720703,6.529290199279785,11.485150337219238,11.118882179260254,17.732067108154297,22.42726707458496,0.1665166516651665,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,fused,persistent_bias_8db,1111.0,8.233217086037877,6.090627228233263,11.251326765577083,10.51687315687212,16.408331795655066,21.397344891422,0.2088208820882088,2972146,1014.3396523001138,87,117
