dataset,seed,method,gamma,k,power,blend,val_n,val_mean_m,val_median_m,val_rmse_m,val_p75_m,val_p90_m,val_p95_m,val_within_3m
UTSIndoorLoc,11,RC-NoMask,0.5,3,1.0,0.7,1682.0,4.0515983359159895,2.883025560380419,5.352678552136128,5.306348644343256,7.955296623409815,11.120682490790804,0.5041617122473246
UTSIndoorLoc,11,RC-NoReconstruction,0.25,11,1.0,"('adaptive', 0.3, 8.932206083477347)",1682.0,4.217562041699365,2.904669130221451,5.624917043298205,5.759868311690962,8.096710836462124,11.62637313754714,0.5089179548156956
UTSIndoorLoc,22,RC-NoAugCoord,1.0,5,2.0,0.5,1627.0,3.9351068631387176,2.9360748678639608,5.170682478124954,4.626721600366082,7.913043159914859,9.97816925503894,0.53779963122311
UTSIndoorLoc,22,RC-NoCoarseHeads,2.0,3,2.0,"('adaptive', 0.0, 2.4833397865295446)",1627.0,4.003763642201399,2.98607390067724,5.172492241342033,4.93039895196553,7.652435225973563,10.434800653796843,0.5021511985248924
UTSIndoorLoc,22,RC-NoConsistency,1.0,5,2.0,0.5,1627.0,3.8731749644211177,2.847479411872964,5.0312521049513546,4.868356787916454,8.045834536372924,9.241340862214708,0.5421020282728949
UTSIndoorLoc,22,RC-NoCorruption,1.0,5,2.0,"('adaptive', 0.0, 6.5452296109077235)",1627.0,4.339686416163573,3.1483889805853016,5.771352667716027,5.139973738516375,8.244497751041646,11.435753859881777,0.4615857406269207
UTSIndoorLoc,22,RC-NoMask,1.0,5,1.0,0.5,1627.0,3.881379649319444,2.9436019369377915,5.031344130015533,4.649807377162048,7.938755295410766,9.842330519845412,0.510141364474493
UTSIndoorLoc,22,RC-NoReconstruction,1.0,5,1.0,0.7,1627.0,3.812004683774996,2.798769424049935,4.934470788662254,4.821185375790979,7.882866427739895,9.660260105913084,0.5273509526736324
UTSIndoorLoc,33,RC-NoAugCoord,2.0,5,2.0,0.5,1606.0,3.902904509046377,2.9442890868614264,5.194475977245994,4.87584777996549,7.165562421748042,8.853408321007048,0.5093399750933998
UTSIndoorLoc,33,RC-NoCoarseHeads,1.0,7,2.0,"('adaptive', 0.15, 5.583591636229748)",1606.0,3.9319862814940185,2.907516654791539,5.274796553147233,4.88856281437733,6.9370165321554085,9.781439122613165,0.5130759651307597
