dataset,seed,method,scenario,p90_m,mean_m
UJIIndoorLoc,55,RC-NoReconstruction,persistent_bias_8db,17.451885132117717,8.779742891238438
UJIIndoorLoc,55,RC-NoReconstruction,top20_outage,106.8740518292633,34.59829353499169
UJIIndoorLoc,55,RC-NoReconstruction,top20_outage_plus_bias4db,105.29257151779667,33.33965588912794
UTSIndoorLoc,11,RC-NoAugCoord,clean,13.084860367005456,7.403516459137882
UTSIndoorLoc,11,RC-NoAugCoord,device_offset_-6db,13.568140543593584,7.585814889651259
UTSIndoorLoc,11,RC-NoAugCoord,persistent_bias_8db,12.59849828312226,7.391602599706029
UTSIndoorLoc,11,RC-NoAugCoord,top20_outage,18.67378995467486,9.895474808755049
UTSIndoorLoc,11,RC-NoAugCoord,top20_outage_plus_bias4db,18.68271862765928,9.7907723124069
UTSIndoorLoc,11,RC-NoCoarseHeads,clean,12.136696923922525,7.20821083446477
UTSIndoorLoc,11,RC-NoCoarseHeads,device_offset_-6db,12.391783845346062,7.1662403362021125
UTSIndoorLoc,11,RC-NoCoarseHeads,persistent_bias_8db,11.642029665149384,7.003055646764145
UTSIndoorLoc,11,RC-NoCoarseHeads,top20_outage,18.56535600805969,9.556964899317355
UTSIndoorLoc,11,RC-NoCoarseHeads,top20_outage_plus_bias4db,17.988367958669613,9.497999432646802
UTSIndoorLoc,11,RC-NoConsistency,clean,12.953737543871396,7.1793036541390025
UTSIndoorLoc,11,RC-NoConsistency,device_offset_-6db,13.164712004373929,7.387497754454058
UTSIndoorLoc,11,RC-NoConsistency,persistent_bias_8db,12.450986063193907,7.071183354409345
UTSIndoorLoc,11,RC-NoConsistency,top20_outage,18.40088313496189,9.786574661000277
UTSIndoorLoc,11,RC-NoConsistency,top20_outage_plus_bias4db,19.30721995277992,9.879523727253495
UTSIndoorLoc,11,RC-NoCorruption,clean,12.877129841529127,7.443822733434493
UTSIndoorLoc,11,RC-NoCorruption,device_offset_-6db,13.290870173356089,7.5334070734828495
UTSIndoorLoc,11,RC-NoCorruption,persistent_bias_8db,12.998075227910098,7.339701235993467
UTSIndoorLoc,11,RC-NoCorruption,top20_outage,19.69388495467742,10.3948998456265
UTSIndoorLoc,11,RC-NoCorruption,top20_outage_plus_bias4db,19.8899239760118,10.410314756348315
UTSIndoorLoc,11,RC-NoMask,clean,13.421633815260526,7.5151341506716465
UTSIndoorLoc,11,RC-NoMask,device_offset_-6db,13.432373898826516,7.566278377481441
UTSIndoorLoc,11,RC-NoMask,persistent_bias_8db,12.39871434713409,7.237418033641338
UTSIndoorLoc,11,RC-NoMask,top20_outage,24.286524484405373,11.40774838336914
UTSIndoorLoc,11,RC-NoMask,top20_outage_plus_bias4db,23.642008431240274,11.292462554655383
UTSIndoorLoc,11,RC-NoReconstruction,clean,12.123418577760235,7.288689048549453
UTSIndoorLoc,11,RC-NoReconstruction,device_offset_-6db,11.88183415548797,7.039111182048042
UTSIndoorLoc,11,RC-NoReconstruction,persistent_bias_8db,12.209852056193704,7.226473751205604
UTSIndoorLoc,11,RC-NoReconstruction,top20_outage,19.955339802326016,10.369060813847575
UTSIndoorLoc,11,RC-NoReconstruction,top20_outage_plus_bias4db,19.8882079229166,10.369469145349372
UTSIndoorLoc,22,RC-NoAugCoord,clean,13.029175001307214,7.207000000700814
UTSIndoorLoc,22,RC-NoAugCoord,device_offset_-6db,13.389338274148727,7.265599127009355
