dataset,seed,retain_fraction,p90_m
UTSIndoorLoc,55,0.5,12.161147251146874
UTSIndoorLoc,55,0.6,11.931725364619682
UTSIndoorLoc,55,0.7000000000000001,11.943617392916641
UTSIndoorLoc,55,0.8,11.836589138244014
UTSIndoorLoc,55,0.9,11.848481166540974
UTSIndoorLoc,55,1.0,12.369251982444089
Tampere,11,0.1,8.659242634965405
Tampere,11,0.2,9.729314189323453
Tampere,11,0.30000000000000004,11.128639338573105
Tampere,11,0.4,12.071124055804697
Tampere,11,0.5,12.005980842045105
Tampere,11,0.6,11.869199242091618
Tampere,11,0.7000000000000001,12.09526110460403
Tampere,11,0.8,12.662564211756134
Tampere,11,0.9,12.731809437139498
Tampere,11,1.0,12.750068729903038
Tampere,22,0.1,13.606249472239272
Tampere,22,0.2,13.201903613038734
Tampere,22,0.30000000000000004,12.769124228233922
Tampere,22,0.4,13.011070529864647
Tampere,22,0.5,12.84552159489369
Tampere,22,0.6,12.74634883684423
Tampere,22,0.7000000000000001,12.748048724684578
Tampere,22,0.8,12.711654740381928
Tampere,22,0.9,12.752308396671301
Tampere,22,1.0,12.863106490505205
Tampere,33,0.1,10.918680317260899
Tampere,33,0.2,12.12204263637476
Tampere,33,0.30000000000000004,12.81320269897351
Tampere,33,0.4,13.113454822206698
Tampere,33,0.5,12.752866000709364
Tampere,33,0.6,12.888142581905905
Tampere,33,0.7000000000000001,12.876953426639266
Tampere,33,0.8,12.828452861111808
Tampere,33,0.9,12.909423108516073
Tampere,33,1.0,13.133424998254139
Tampere,44,0.1,12.516943928307743
Tampere,44,0.2,12.523926199661407
Tampere,44,0.30000000000000004,12.530908471015072
Tampere,44,0.4,12.471595376060336
Tampere,44,0.5,12.459906920997835
Tampere,44,0.6,12.553124645312435
Tampere,44,0.7000000000000001,12.647502256733194
Tampere,44,0.8,12.527417335338239
Tampere,44,0.9,12.57664575434931
Tampere,44,1.0,12.83743979310577
Tampere,55,0.1,12.40907757452423
Tampere,55,0.2,13.464638707927458
Tampere,55,0.30000000000000004,13.03622382570681
Tampere,55,0.4,12.995454556796812
Tampere,55,0.5,12.64652355831546
Tampere,55,0.6,12.40108714312774
Tampere,55,0.7000000000000001,12.317164823398722
Tampere,55,0.8,12.319728474505757
Tampere,55,0.9,12.372194423745393
Tampere,55,1.0,12.823121289657035
UJI-Library-25M,11,0.1,5.169259544782958
UJI-Library-25M,11,0.2,5.546595108726582
UJI-Library-25M,11,0.30000000000000004,5.679890080333283
UJI-Library-25M,11,0.4,5.746435176061911
UJI-Library-25M,11,0.5,5.761224215755834
UJI-Library-25M,11,0.6,5.780316542894064
UJI-Library-25M,11,0.7000000000000001,5.7746477756896395
UJI-Library-25M,11,0.8,5.775564495124821
