dataset,seed,outage_fraction,bias_sd_db,method,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m
UJIIndoorLoc,22,0.2,4.0,RC-Loc,1111.0,30.195947996466053,12.525748779087285,55.751770659386445,28.096108723385704,92.72033824916761,140.70057284798972,0.0963096309630963
UJIIndoorLoc,22,0.2,8.0,PCA-WKNN,1111.0,68.99593895889558,23.606281631938806,99.50899507265417,146.09195207665528,175.3280495649425,187.6873709911663,0.08730873087308731
UJIIndoorLoc,22,0.2,8.0,AaT-base-reimpl,1111.0,46.4744873046875,18.156938552856445,75.09528350830078,55.66236877441406,147.4722442626953,182.90850830078125,0.050405040504050404
UJIIndoorLoc,22,0.2,8.0,RC-Direct,1111.0,30.867462158203125,12.83753776550293,56.835784912109375,28.512916564941406,90.44161987304688,142.09003448486328,0.07650765076507651
UJIIndoorLoc,22,0.2,8.0,RC-Loc,1111.0,30.162851135447596,12.176784127733415,56.03462095402058,27.646473874163306,90.44162215307294,142.09003227838588,0.0927092709270927
UJIIndoorLoc,22,0.3,0.0,PCA-WKNN,1111.0,102.9122722904403,110.02384429367132,129.24214541153685,174.19683396562294,201.1290345422762,213.99442137793415,0.0315031503150315
UJIIndoorLoc,22,0.3,0.0,AaT-base-reimpl,1111.0,63.436622619628906,30.68855857849121,90.74217987060547,116.37612533569336,164.22308349609375,202.5841293334961,0.026102610261026102
UJIIndoorLoc,22,0.3,0.0,RC-Direct,1111.0,45.060264587402344,16.458938598632812,76.70826721191406,48.85869216918945,149.39907836914062,169.26681518554688,0.0405040504050405
UJIIndoorLoc,22,0.3,0.0,RC-Loc,1111.0,44.838892578877385,16.6174948322695,76.39501737909399,48.85869157222986,149.39908462828706,169.26681477609756,0.04950495049504951
UJIIndoorLoc,22,0.3,4.0,PCA-WKNN,1111.0,102.35830268978106,109.14244425097971,128.835010142842,174.19683396562294,201.12903403344836,215.18202080024213,0.0297029702970297
UJIIndoorLoc,22,0.3,4.0,AaT-base-reimpl,1111.0,63.50860595703125,29.96932601928711,91.15869903564453,115.77293014526367,166.64710998535156,204.88871002197266,0.023402340234023402
UJIIndoorLoc,22,0.3,4.0,RC-Direct,1111.0,44.949832916259766,16.67086410522461,76.27362060546875,48.047515869140625,149.295166015625,166.7470703125,0.032403240324032405
UJIIndoorLoc,22,0.3,4.0,RC-Loc,1111.0,44.71781868176463,16.868454016752647,75.9458770593485,47.901566993448384,149.2951649582371,167.45954757428734,0.0423042304230423
UJIIndoorLoc,22,0.3,8.0,PCA-WKNN,1111.0,100.70475236166929,107.92991516221865,127.06579303279838,173.90616943001388,199.34736164274804,213.0009161477478,0.027002700270027002
UJIIndoorLoc,22,0.3,8.0,AaT-base-reimpl,1111.0,64.13556671142578,31.849658966064453,91.60704803466797,116.18013000488281,167.61972045898438,205.44742584228516,0.018901890189018902
UJIIndoorLoc,22,0.3,8.0,RC-Direct,1111.0,45.59889221191406,16.971742630004883,76.50927734375,51.719154357910156,149.15708923339844,168.0140838623047,0.046804680468046804
UJIIndoorLoc,22,0.3,8.0,RC-Loc,1111.0,45.41051185604667,16.63592448581141,76.27599447565353,52.35578595143735,149.15708804499536,167.13495944047108,0.0558055805580558
UJIIndoorLoc,33,0.0,0.0,PCA-WKNN,1111.0,9.735900077452207,6.005225531410398,18.7799096904404,11.130924763277685,18.87928142733645,26.141191201587482,0.23672367236723674
UJIIndoorLoc,33,0.0,0.0,AaT-base-reimpl,1111.0,8.872044563293457,7.031890869140625,11.742866516113281,11.22761583328247,16.80735969543457,23.48008918762207,0.1701170117011701
UJIIndoorLoc,33,0.0,0.0,RC-Direct,1111.0,8.383330345153809,6.4627299308776855,11.192063331604004,10.897907733917236,16.562484741210938,20.689099311828613,0.17371737173717372
UJIIndoorLoc,33,0.0,0.0,RC-Loc,1111.0,8.219085834702367,6.19543233695512,11.097385068592345,10.559926478393823,15.972108032953637,20.60814440951684,0.19171917191719173
UJIIndoorLoc,33,0.0,4.0,PCA-WKNN,1111.0,9.768524797978245,5.97480376242606,19.891848636396467,10.904737302928048,18.313353197046084,25.741193171357025,0.25292529252925294
UJIIndoorLoc,33,0.0,4.0,AaT-base-reimpl,1111.0,8.930459022521973,6.955839157104492,11.941555976867676,11.143013954162598,17.055492401123047,23.255388259887695,0.171017101710171
UJIIndoorLoc,33,0.0,4.0,RC-Direct,1111.0,8.4592924118042,6.583467483520508,11.244258880615234,10.93793773651123,16.8536376953125,20.842476844787598,0.1638163816381638
UJIIndoorLoc,33,0.0,4.0,RC-Loc,1111.0,8.23856825590276,6.224234651742158,11.082247996541012,10.708666396694895,15.739407950439805,20.14249672848159,0.18991899189918993
UJIIndoorLoc,33,0.0,8.0,PCA-WKNN,1111.0,10.091008823370291,6.0594156609002985,21.55698669938252,10.884047643436269,18.046920397224753,26.46226391746299,0.24302430243024303
UJIIndoorLoc,33,0.0,8.0,AaT-base-reimpl,1111.0,9.056846618652344,7.273928642272949,11.712370872497559,11.702318668365479,16.922489166259766,23.327733039855957,0.1413141314131413
UJIIndoorLoc,33,0.0,8.0,RC-Direct,1111.0,8.728394508361816,6.751408576965332,11.651619911193848,11.408632755279541,17.002872467041016,21.38173484802246,0.1773177317731773
UJIIndoorLoc,33,0.0,8.0,RC-Loc,1111.0,8.616231081153257,6.527441528471931,11.631971601777021,11.055735473887392,17.008584195367177,21.425936160904502,0.19441944194419442
UJIIndoorLoc,33,0.1,0.0,PCA-WKNN,1111.0,28.387914257320297,8.335630669869737,52.82664951364147,22.765105844133675,111.40077256812536,146.95172346132244,0.19531953195319532
UJIIndoorLoc,33,0.1,0.0,AaT-base-reimpl,1111.0,21.2770938873291,9.02123737335205,41.50480270385742,17.62162685394287,47.741817474365234,111.81917953491211,0.1251125112511251
UJIIndoorLoc,33,0.1,0.0,RC-Direct,1111.0,16.21236228942871,7.85274600982666,35.27811813354492,14.244697570800781,27.944501876831055,57.24777603149414,0.13591359135913592
UJIIndoorLoc,33,0.1,0.0,RC-Loc,1111.0,16.58362327026644,8.09433589940804,34.657531612934896,15.429770768966689,31.50078725894331,61.71577511153501,0.15031503150315031
UJIIndoorLoc,33,0.1,4.0,PCA-WKNN,1111.0,28.188281583755362,8.259232230753852,52.54081488800598,21.736807486727304,107.94553372214564,146.95172873985524,0.19441944194419442
UJIIndoorLoc,33,0.1,4.0,AaT-base-reimpl,1111.0,21.251739501953125,8.87884521484375,41.30096435546875,17.732900619506836,47.489253997802734,112.16761016845703,0.11971197119711971
UJIIndoorLoc,33,0.1,4.0,RC-Direct,1111.0,16.012006759643555,7.785428524017334,33.63429260253906,14.518539428710938,28.594148635864258,54.729827880859375,0.14491449144914492
UJIIndoorLoc,33,0.1,4.0,RC-Loc,1111.0,16.471382078880364,7.885886214816045,33.34916159940956,14.919893560342913,31.926147997448734,59.230914250183446,0.15211521152115212
UJIIndoorLoc,33,0.1,8.0,PCA-WKNN,1111.0,27.06949626627294,8.332184537174703,50.81326448807584,21.198030779006757,105.17818014611981,140.68301531997622,0.20252025202520252
UJIIndoorLoc,33,0.1,8.0,AaT-base-reimpl,1111.0,20.548410415649414,9.21381950378418,39.42494201660156,17.794113159179688,43.609100341796875,97.98750686645508,0.11971197119711971
UJIIndoorLoc,33,0.1,8.0,RC-Direct,1111.0,16.672025680541992,8.21192741394043,35.201663970947266,15.327194213867188,29.15243148803711,49.3530216217041,0.12421242124212421
UJIIndoorLoc,33,0.1,8.0,RC-Loc,1111.0,16.893903942467716,8.23568851345688,34.50356883462565,16.67430591035867,32.41753515417567,54.37276861698801,0.1323132313231323
UJIIndoorLoc,33,0.2,0.0,PCA-WKNN,1111.0,77.17365702023409,33.00807883934698,110.71724046459511,147.27078542734074,205.98930535489725,228.52101389124266,0.07200720072007201
UJIIndoorLoc,33,0.2,0.0,AaT-base-reimpl,1111.0,44.131465911865234,18.94750213623047,67.82404327392578,63.7093391418457,134.27659606933594,159.20851135253906,0.04590459045904591
UJIIndoorLoc,33,0.2,0.0,RC-Direct,1111.0,28.474374771118164,11.850428581237793,50.002254486083984,27.423267364501953,88.73725891113281,126.62858963012695,0.081008100810081
UJIIndoorLoc,33,0.2,0.0,RC-Loc,1111.0,29.620246826634357,13.26107442577732,49.81374718681956,32.01023511561763,87.76191356192155,123.53708348728105,0.08280828082808281
UJIIndoorLoc,33,0.2,4.0,PCA-WKNN,1111.0,74.88400649217003,31.621004850467575,108.53781996085927,146.00657925754837,205.23740413930264,225.26311576032464,0.081008100810081
UJIIndoorLoc,33,0.2,4.0,AaT-base-reimpl,1111.0,43.8385124206543,19.363378524780273,67.3924331665039,59.972421646118164,134.18385314941406,158.7997283935547,0.0423042304230423
UJIIndoorLoc,33,0.2,4.0,RC-Direct,1111.0,28.647069931030273,11.715237617492676,50.25442123413086,27.717477798461914,88.73725891113281,130.3011245727539,0.07920792079207921
UJIIndoorLoc,33,0.2,4.0,RC-Loc,1111.0,29.415024832455785,13.105733259980438,49.82478392627498,30.435134788903582,86.70346805840305,127.54700299155945,0.0774077407740774
UJIIndoorLoc,33,0.2,8.0,PCA-WKNN,1111.0,77.2342370111401,31.776691334409914,110.79827694231729,147.70161937724453,206.35670939422306,224.21963517081036,0.0783078307830783
UJIIndoorLoc,33,0.2,8.0,AaT-base-reimpl,1111.0,44.01007080078125,18.94402313232422,67.69416046142578,59.694631576538086,136.01809692382812,162.4660873413086,0.04770477047704771
UJIIndoorLoc,33,0.2,8.0,RC-Direct,1111.0,28.714122772216797,12.177288055419922,49.54839324951172,28.768895149230957,88.73725891113281,125.31547164916992,0.07560756075607561
UJIIndoorLoc,33,0.2,8.0,RC-Loc,1111.0,29.690094714972044,13.285504599452436,49.27917821033336,32.37672296403415,86.70535448057412,120.62378292693089,0.0666066606660666
UJIIndoorLoc,33,0.3,0.0,PCA-WKNN,1111.0,106.89989514467926,94.99632828948737,137.13981483415193,192.28889431723422,229.34077307573762,241.94471074059098,0.0405040504050405
UJIIndoorLoc,33,0.3,0.0,AaT-base-reimpl,1111.0,60.23881912231445,31.049497604370117,84.21761322021484,108.44035339355469,158.65318298339844,177.2239761352539,0.020702070207020702
UJIIndoorLoc,33,0.3,0.0,RC-Direct,1111.0,42.12299728393555,17.755956649780273,69.57325744628906,48.77063179016113,124.7093734741211,160.65428924560547,0.04590459045904591
UJIIndoorLoc,33,0.3,0.0,RC-Loc,1111.0,44.86281201197044,22.270630981427143,70.06168054161931,58.80149464791397,126.437605728783,158.0876761203618,0.041404140414041404
UJIIndoorLoc,33,0.3,4.0,PCA-WKNN,1111.0,108.30891513482338,95.23036591726125,138.41652689016215,192.05192068333815,231.44968184138682,244.05919921912064,0.036003600360036005
UJIIndoorLoc,33,0.3,4.0,AaT-base-reimpl,1111.0,61.59170913696289,32.35074996948242,85.50782775878906,110.72836685180664,159.10394287109375,178.85681915283203,0.017101710171017102
UJIIndoorLoc,33,0.3,4.0,RC-Direct,1111.0,42.10748291015625,17.73876953125,68.51228332519531,49.6543025970459,124.45199584960938,159.67456817626953,0.041404140414041404
UJIIndoorLoc,33,0.3,4.0,RC-Loc,1111.0,45.130527309035095,22.973270138189598,69.282566126345,60.7693828755169,127.46977003003998,156.5527517408508,0.041404140414041404
UJIIndoorLoc,33,0.3,8.0,PCA-WKNN,1111.0,105.50894180393368,91.18646593229458,135.735882412551,190.54020502176343,228.86677633262983,240.1155207767389,0.0387038703870387
UJIIndoorLoc,33,0.3,8.0,AaT-base-reimpl,1111.0,58.50000762939453,30.4383487701416,82.20003509521484,105.35017776489258,154.4894561767578,175.30059051513672,0.020702070207020702
