dataset,scenario,method,n_seeds,mean_error_mean_m,mean_error_std_m,p90_mean_m,p90_std_m,p95_mean_m,p95_std_m
UJIIndoorLoc,top_ap_outage=0.30,RC-Direct,5,40.31733856201172,6.1232527069745935,119.12836303710938,30.657487316581268,155.76393356323243,27.617711614434537
UJIIndoorLoc,top_ap_outage=0.30,RC-Loc,5,40.648276554106666,6.568660361845347,119.47401180066049,30.74575559843013,154.72726280277274,27.891957356503944
UTSIndoorLoc,device_offset=+6dB,AaT-base-reimpl,5,7.507769393920898,0.07029536330283653,13.06279947280884,0.4921819472706068,16.737608451843258,0.5147358206148573
UTSIndoorLoc,device_offset=+6dB,PCA-WKNN,5,8.259260895588929,0.39479947494250656,14.774070885471506,1.217705001628662,18.030939036237907,2.1182571911316375
UTSIndoorLoc,device_offset=+6dB,RC-Direct,5,7.07062931060791,0.1453361165270356,12.100261039733889,0.5617038568326588,15.644808311462395,1.0519434338000024
UTSIndoorLoc,device_offset=+6dB,RC-Loc,5,7.0586709355111,0.1696063762112252,11.930229005019205,0.5430383004459007,15.573329219079772,1.0553233771761172
UTSIndoorLoc,device_offset=-6dB,AaT-base-reimpl,5,7.4825160026550295,0.10183783771613555,13.148031044006348,0.6684325805519749,16.63833800315856,0.4125232434968179
UTSIndoorLoc,device_offset=-6dB,PCA-WKNN,5,9.80765656423755,1.2392181649332958,17.484261934086465,2.7938500681971017,24.976325778691912,7.72456806943732
UTSIndoorLoc,device_offset=-6dB,RC-Direct,5,6.856660556793213,0.11188781324871538,11.83288953781128,0.6390429423347385,15.098006849288936,0.6940470140785843
UTSIndoorLoc,device_offset=-6dB,RC-Loc,5,6.936065678736929,0.267351534517142,12.175389414867999,0.8692742260751797,15.302907022396685,0.7603455057999999
UTSIndoorLoc,persistent_ap_bias_sd=4dB,AaT-base-reimpl,5,7.518331813812256,0.07143015627197172,13.074287071228028,0.5349711518086939,16.282722892761228,0.9385941049635833
UTSIndoorLoc,persistent_ap_bias_sd=4dB,PCA-WKNN,5,8.412098577781624,0.4114524313340579,14.939585216761008,1.397874241190198,18.28268129490622,1.9409004998134132
UTSIndoorLoc,persistent_ap_bias_sd=4dB,RC-Direct,5,6.986738014221191,0.12684733155967523,12.028295040130615,0.6387291402205907,15.401478729248037,0.5257636066027458
UTSIndoorLoc,persistent_ap_bias_sd=4dB,RC-Loc,5,6.982017075149086,0.1730806561393343,11.96598221018001,0.7358422034734013,15.481891287902567,0.7722333276220483
UTSIndoorLoc,persistent_ap_bias_sd=8dB,AaT-base-reimpl,5,7.592172527313233,0.11757371323538797,13.39357069015503,0.47542522326194847,16.60385154724121,0.5205972559050679
UTSIndoorLoc,persistent_ap_bias_sd=8dB,PCA-WKNN,5,8.119000508254837,0.27747234494419293,14.486871982136984,0.8295188305696134,17.806790154220266,1.3963647174944653
UTSIndoorLoc,persistent_ap_bias_sd=8dB,RC-Direct,5,7.020482921600342,0.0983895662557076,11.927740707397462,0.3099566133906753,15.079881696701042,0.4036934208552326
