dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
UTSIndoorLoc,11,RC-Loc,"drop=0.2,noise=6",388.0,7.4531929867730895,6.404596162077077,9.16136731562213,9.532393249983059,12.8386927221063,16.153037057638574,0.16237113402061856,,,,,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,22,RC-Loc,clean,388.0,6.873742033834531,5.796100234143127,8.505928720961139,8.856268468275651,11.722743654007491,15.173092110701095,0.18041237113402062,0.9278350515463918,0.0,1.0,0.0,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Direct,clean,388.0,6.937609672546387,6.014463901519775,8.567789077758789,8.90833854675293,12.12700080871582,15.139094829559319,0.17010309278350516,0.9278350515463918,0.0,1.0,0.0,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.2,noise=0",388.0,7.019465967390569,6.221437692713446,8.611275157784373,8.997667618711429,11.993670490269896,14.7780462309042,0.17783505154639176,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.4,noise=0",388.0,7.729206640085785,6.851655893544384,9.596295700076961,9.974957648862153,13.79758034828926,18.183874389290725,0.18556701030927836,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.6,noise=0",388.0,9.344191551170823,8.034406715840396,11.689136128332915,12.210703377637472,17.795535252097462,23.373848622075567,0.17525773195876287,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.2,noise=2",388.0,7.0734698385512225,6.281473962011796,8.677922115313486,9.067311657675228,12.173051300684463,15.124145669981333,0.18041237113402062,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.2,noise=4",388.0,7.132718634255148,6.3644326023215845,8.742595097810945,9.238313804264749,12.2648354286917,14.901325413985552,0.17783505154639176,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,22,RC-Loc,"drop=0.2,noise=6",388.0,7.199890734125748,6.360375620507389,8.827521625343339,9.417213716583998,12.446858573578195,14.937685561845916,0.18298969072164947,,,,,67.52946910005994,0.13549974219412686,92
UTSIndoorLoc,33,RC-Loc,clean,388.0,6.852364517752427,5.986754719220938,8.47233654385231,8.650081118311729,11.34882350714538,14.25949617721526,0.19329896907216496,0.9201030927835051,0.0,1.0,0.0,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Direct,clean,388.0,6.8399505615234375,5.951674461364746,8.432738304138184,8.731253147125244,11.305859756469728,14.494132184982293,0.20103092783505155,0.9201030927835051,0.0,1.0,0.0,77.40425350004807,0.1530438144307238,107
